,judgement,title,score,id,num_comments,body
0,Everyone Sucks,AITA for making a dad joke?,56956,dhfeg9,2018,"Note. My step-daughter, Madeline, was about a year old when I married her mother, Jessica. Madeline’s father died before she was born.  Madeline is currently 15, and she’s rebelling for almost everything. She did something bad, so while picking her up, I set a punishment up for her. Then she said “You’re not my dad. I don’t have to follow you”. Honestly, I got a bit hurt from that. But I understand that she didn’t mean it, and that she’d probably change. I just replied “I’m still your legal guardian for the next 3 years, and as long as your in my house, you have to follow my rules.”  That happened about 2 days ago. So our family was going grocery shopping, when Madeline said “I’m hungry. I need food.” I decide to be extremely cheeky and say “Hi Hungry, I’m not your dad.” My son just started to laugh uncontrollably. My daughter was just quiet with embarrassment. And my wife was berating me “Not to stoop down to her level.”  I honestly thought it was a funny dad joke. And my son agrees. So AITA? Edit: I did adopt her. So legally I am her parent. Mini Update: I’ll probably give a full update later but here is what happened so far. I go to my daughter’s room after dinner and begin talking with her. “Hey. I’m really sorry that I hurt you by the words I said. And I am really your dad. I changed your diapers, I met your boyfriend, and I plan on helping you through college. And plus I’m legally your dad, so we’re stuck together. But seriously, I’m going to love you like my daughter even if you don’t think I’m your dad. Then I hugged her. She did start to cry. I assume that’s good."
1,Everyone Sucks,AITA for telling my extended family how many men (roughly) my sister has slept with after she outed our youngest brother as a virgin?,54129,cihc3z,5203,"We had a family dinner this evening. My family has four kids in total: me, my elder sister (29F), younger sister (24F) and youngest brother (22M).Extended family attended our family dinner. So all of our significant others, our cousins, aunts and uncles etc. During the dinner my elder sister and youngest brother got into a mild disagreement. My sister seemed (at least to me) to be coming across as very aggressive out of frustration and losing said argument. The two of them were too absorbed in their argument to realise the rest of us were getting a bit fed up.Eventually my sister got really fed up and said “Shut up, I’m not going to argue with a 22 year old virgin.” My brother hadn’t done any personal attacks up until that point, it was completely unprovoked. I think it might have been the alcohol as my sister is a mean drunk. Anyway, I immediately told my sister to grow up and that she was making an embarrassment of herself. She replied by saying everyone knows he’s a virgin and she didn’t say anything wrong. This annoyed me as my bro definitely has confidence issues and doesn’t need to be made fun of like this.So I responded by saying how she slept with well over a hundred men while she was in college, and that since everyone in the family knows this it’s not a big deal right? Turns out her husband didn’t know this amazingly, I genuinely assumed he must have known. he left the party angrily saying my sister mislead him about her past.Family is blaming me for their marital problems. I refuse to accept I did anything wrong. My sister bullied my brother in front of everyone, all I did was give her a taste of her own medicine."
2,Everyone Sucks,AITA if I stop paying my daughter’s tuition over a disgusting comment she made towards my new girlfriend?,42916,e3f7tf,8392,"My (56M) wife died at the young age of 51 from a car accident. I was in deep mourning for about a year after her death. I met my new GF C (43F) around January. C was the one who made me laugh for the first time after my wife died. She’s smart as hell (3 Ivy League degrees), has a dark sense of humor that I love, a terrific cook, and overall an amazing woman who I can imagine spending the rest of my life with. She is also on the heavier side, a fact that becomes relevant later.I have 2 children, E (25M) and A (19F). They were well aware that I had gotten a new GF before I first introduced them to C this summer. She got along immediately with E, but A was very very standoffish. After that initial meeting I asked A if there was something wrong but she denied it. C made a few more attempts to get to know A but they were all rudely rejected.E and A both came home for Thanksgiving dinner. I asked A to please be polite during the meal since she’s always been rude in her interactions with C even though C has been nothing but gracious in return. The dinner was going as well as it could have for the first 10 minutes, although I noticed A glaring at C the entire time. When C went to grab her third helping of mashed potatoes, A said “Don’t you think you’ve eaten enough, you fat pig?” C started sobbing immediately and ran off into the bedroom. I felt my face turn red and told A to get out. About half an hour after A left I texted her stating that I would no longer pay her tuition unless 1. She apologized to C and 2. C accepts her apology. A must have assumed that I was bluffing because she instead doubled down on her behavior during Thanksgiving dinner. I then logged into her university’s tuition payment website, canceled next semester’s tuition, and sent A the screenshots. She called me crying and begging me to reconsider but I told her my mind was made up."
3,Everyone Sucks,AITA for pointing out to my friends that they are not famous?,36928,cv96lf,2508,"My friends are dating, they’re also actors who have had small roles on a few tv shows (I’m talking two lines or less). I say this not to be a hater, I truly am rooting for them, but to give you a scope of their reach. Neither of them have a following in real life or on social media (they’ve got under 1500 followers combined). Anyway last week I posted a group picture on Instagram of people celebrating a friends birthday. Everyone in the photo has got their arms around each other’s shoulders. Very platonic. Anyway yesterday in a group chat between the three of us they asked me to take the photo down because they don’t want “the public” to know they are dating. I would consider it if they looked bad/too sloppy drunk/etc. but they don’t. Also everyone has their arms around each other, not just them. Anyway I asked what they meant, and they said they didn’t want to end up in gossip rags....I pointed out that they are not famous and that they don’t even have functioning IMDb pages. They were livid and called me a bunch of names. I think they’re delusional but they’ve been texting me demanding it and even sent me screenshots of them reporting it (nothing has happened). At this point, I don’t even want to be their friend. However, and probably because I’m an asshole, I don’t want to delete it based solely on principle.Edit: okay, so many of y’all are right. I suppose I should separate how I feel about their (ridiculous/delusional/stupid) reasoning with the fact that no one should have an image of themselves online that they don’t want made public. I’ll take it down."
4,Everyone Sucks,AITA for honking at another driver who cut in front of me at a drive thru each time she tries to order,34797,chvyp2,2717,"This line at a Starbucks I went to was really long. I was in line for a good maybe 20 minutes. Until this lady in a Mercedes tries to cut in front of me and like 8 others behind me. I laid on the horn and tried to block her from cutting me but she succeeded anyway and flipped me off. Okay. I’m the type of person who will not let someone get away with shit like this. So I waited until she pulls up and as soon as she tries to order, I honk. She then looks at me with a dirty look and gives me the finger which I already had a middle finger of my own ready for her. Each time she makes an attempt to order something I honk and sometimes lay on the horn for 3 seconds. We stopped as soon as she drove off. We then ordered and went about our day. I just can’t people who are extremely rude like that lady and I couldn’t simply let this go. AITA for this?"
5,Everyone Sucks,AITA for leaving my wife by herself when she talks in a cringy manner,34077,dk2rkt,3782,"Ever since we(27) had a baby, my wife had been talking like a baby herself.Rather than teaching the baby to talk like a person, it's as if my wife's language has become baby-like. She would make noises in between conversations like ""Bo-dee-bo-dee-chooop"" and ""Awowo-fwatata"", even when talking with adults. This is especially embarrassing when I am with her in public places, when she talks like that to complete strangers. I have been telling nicely to her to not do that but she would just laugh it off, totally oblivious to how people around us stare whenever she talk like a baby. I have to point out that she is not in the spectrum, just a crazy new mum, in fact too crazy sometimes.It was a day off for us when we have my parents babysitting the baby and we finally have some time by ourselves. We went out for dinner and she done it again, talking to the waiter, something like this:""Yippy thanks ya-ha-ha-hah. Owoyoyaya by the way can you give us an extra plate for this?""Seeing how the waiter staring at her as if she is some kind of mentality challenged. I rolled my eyes and told her:""I am taking a break today and don't need another baby who cannot even talk properly to look after. Please excuse me."" Then I left the restaurant without her. I don't know what occurred to me but I probably shouldn't have done that, but I guess it kinda just snapped. AITA?"
6,Everyone Sucks,AITA for replacing myself with my twin brother at my in-laws’ Christmas Eve party to see if anyone noticed?,33350,efmpvl,1960,"I am 31, and have an identical twin brother. For a while I’ve told my wife that none of her family members notice me or care about anything I do on Christmas Eve but they insist on me attending. She told me that’s not true, they genuinely like me and enjoy talking to me. But I know that the only times they’ve included me I had to basically insert myself into conversations and it feels awkward and unnatural. So I had a wager with my wife. Bring my twin brother Steve instead of me, and see if anyone notices. I purposefully did not prep Steve on anything, he went in completely clueless (he knew why we were doing it and was game. I gave him $20.)  As I suspected, Steve confirmed that he wasn’t approached all night, nobody could tell he wasn’t me, and he admitted he even felt excluded and he could only imagine how I felt. So this morning on Christmas I invited Steve to join (normally he’s with my mom and dad every year as he’s not married or in a relationship.) they know about him obviously but didn’t know about the switcheroo. That was when I revealed that last night “I” was Steve and expressed disappointment that nobody noticed and said this is why I stopped trying, nobody talks to me. My wife drew the line here, she was hoping we would keep this between the two of us as a funny prank. But how can I expect her family to see what jerks they’ve been if I don’t expose it? FWIW Steve was fine."
7,Everyone Sucks,"AITA for kicking out my brother, who our parents have previously disowned, because he told my (now ex) fiancé that I cheated 9 years ago?",32371,chb37s,7567,"For reference, my brother Connor is 19, I am 26, and my (now ex) fiancé Hunter is 28. Also for reference, already mentioned in the title, but my brother was kicked out when he was 16 because our parents snooped through his phone and found out he was in gay.Connor had a birthday last weekend, so he invited his friends over and they were all (18-22 year olds) drinking and playing games. Hunter and I were about to head out to let them have the place to themselves, when Connor asked if we wanted to join them. I initially refused (bit too old to be playing drinking games), but he insisted and Hunter thought it’d be fun to act like college students again.We all got pretty drunk and Connor had the idea of playing Never Have I Ever. A few rounds in, the statement “Never Have I Ever cheated before” came up.Now’s a good time to mention that Hunter is **staunchly** against cheating. His ex-fiancé cheated on him and it emotionally wrecked him. And unfortunately, as a lot of dumb, immature 17 year olds do, I cheated on my “boyfriend” of 5 months. It was a stupid mistake, he found out, and (understandably) ended things. This was almost a decade ago, I obviously learned my lesson, and look back at that time with shame (and obviously never cheated since).Well my brother knows about this so when I didn’t drink, he went “hey sis, what the hell? You know you cheated on (*insert ex’s name*). You have to drink to that!”My boyfriend paused, looked at me, looked at him, and just walked out of the room. I followed him and tried to talk to tell him that it was a stupid teenaged mistake, but he wasn’t haven’t any of it and ended things on the spot. I’m numb. I’m heartbroken. He was my everything and more and I still don’t know how I’m going to move on.Connor tried to apologize, but I feel nothing but sadness and emptiness. This morning I served him an eviction notice. He begged me to stay and said he didn’t mean to ruin my relationship and he just didn’t think when he said those words. I just can’t look at him right now. He ruined my life. After I raised him and cared for him like he was my own. I feel so hurt. Am I being unreasonable?"
8,Everyone Sucks,AITA for telling my friend she got an STD from sleeping around?,29770,ecu3p4,3816,"I was hanging out with a friend of mine and a group of her friends. We were all talking and having drinks, and the topic of dating comes up in conversation. For some background information; I’ve only had one boyfriend (I’m 24) we dated for 4 years, and broke up about a year ago. I’m mostly a loner. I’m fine with being single right now and have no interest in dating at the moment. My friend knows this. She starts lightly teasing me in front of her friends, pretty much calling me a spinster. She “dates” a lot. Every week she tells me about two or so guys that she’s slept with. This kind of started a pile on, where everyone was teasing me, and giving me unsolicited advice. I tried to placate it, but she kept bringing the conversation back to me and my (lack of) a sex life. Eventually I got really heated, and just said “so is your crotch still burning or is that cleared up? What did they say about that? Was it guy 104 or 105 that gave it to you?”Like three weeks ago she called me crying to take her to the clinic because she had painful itchy blisters on her groin, turned out to be herpes. I did it without judging her at the time. She quickly stood up and left the table. I tried to follow her to apologize and she went off about me outing her to her friends. She was telling me how I was the only person she trusted, and she couldn’t believe I would act that way. I tried to remind her how she and her friends were dog piling me, and she said it was just jokes, I didn’t have to react that way. We are obviously not speaking right now. Was what I did justifiable self defense? I know I probably wouldn’t have done it without liquid courage.Edit:1. I did ask her to stop, i was trying to keep things friendly. 2. I did not say that she had herpes. I said she had a burning crotch."
9,Everyone Sucks,AITA for cancelling my wedding because fiancee almost got my dog killed?,29670,bmi2qj,7924,"Me (28M) and fiancee (27F) have been together for 4 years, engaged for 6 months. I also have a 7 year-old lab mix who is the greatest dog in existence.On Saturday, fiancee had a bachelorette party at home. I stayed with my parents but I left the dog with her because she likes having him there. However, *I made sure to tell her to put the dog in our bedroom once the party gets going*.5am on Sunday I get a frantic call that something's wrong with the dog. She was drunk, so I told her to get a taxi and go to the emergency vet clinic. When I got there, she looked like she hadn't stopped crying for hours and she couldn't even speak. Two of her friends were there so they told me my dog is alive but not well. I felt sorry for her for an entire 10 minutes while waiting for the doctor.But then, the doctor told me my dog ingested large amounts of alcohol and chocolate edibles. The girls apparently thought it would be cool to leave everything out on short coffee tables, leave the dog to wander around instead of putting him in our bedroom, and then get wasted and not notice he was going to town with the booze and edibles.When we got home, I told my fiancee to pack and get out of my house and my life. I told her to tell her guests the wedding is off, and I'll tell mine. She was shocked, but she took her things and left.2 hours later, I get bombarded by messages on Messenger, Whatsapp, by her sisters, brother, brother's wife, her mom, her friends, telling me that I am insane to do this to her after 4 years. They started off defending her, but it quickly turned into insulting me.The logical thing for me to do was look for comfort in my friends and family. Nope. They all fucking agree. My mom said: ""Well, it was a mistake, she didn't do it on purpose, besides - the dog didn't die!"" Lucky me, eh? My dog didn't fucking die!My sister was appalled that I cancelled the wedding ""over *that*?!"" and even my best man said I might have overreacted. Yes, our relationship has had ups and downs, but it's mostly worked fine. But I am so disgusted at my fiancee that I can't even imagine looking her in the eye, let alone spending my whole life with her. She isn't fucking 17, she is 27!By the way, this is not the first dumb thing she has done. She likes to text while driving, she always leaves stuff on the electric stove (like kitchen towels, the cutting board etc.) even though she has turned on the wrong burner and burnt whatever was on it several times in the past, and similar DANGEROUS things. It's not something I hold against her in the sense that I would ever mention in a fight, but I'd be lying if I said I wasn't worried that she might end up killing herself or someone else. For example, my dog.I'm 99% sure I will stand by my decision. But am I really an asshole? Literally nobody is on my side and I have no idea what to think.&#x200B;**Edit: Posting here kind of triggered me to conclude this isn't about the dog at all. She is negligent and irresponsible and I don't want to stick around and possibly see our child die in a car accident some day because she was texting or she forgot to put his seat belt on. I'd rather be an asshole now than spend years of my life worrying every time our child is left alone with her. If she'd accidentally killed a person while texting and driving, I would also leave her. I guess I realized I don't want to spend my life with someone who has such blatant disregard for human (or animal) life.**"
