,date,judgement,score,id,num_comments,title,body
0,2021-03-18 04:07:08,Everyone Sucks,1461,m77ysg,228,"AITA for telling a child that ""nobody cares""?","Today I had to look after my 12yo niece. I'll call her ""Rachel"" for this.Rachel is a very ""busy"" kid. She's very smart and does these mathematics competitions, and she's come first place three years running. Outside of that, her and her mother (my sister) have a little fashion blog on social media which a lot of girls in the area, including my 12yo daughter ""Molly"" follow. I'm glad that the kid has hobbies, but one unfortunate side effect is that she talks about herself a lot. We've been on family outings before, and this kid will literally dominate a conversation talking about her competitions or her fashion stuff or something else. My sister encourages this. I do get that she's proud of her daughter and wants the best for her, but the kid is very self centred. Today when Rachel came, she was wearing a cute dress and asked if she could take some pictures for her blog. I didn't mind but she kept telling Molly to get out of the shots, and when Molly asked if they could take some pictures together, Rachel's response was ""Ew, no!"" This really upset Molly, and I told Rachel because of that I didn't want her taking her blog pictures in our house. Later Molly was doing some homework and I asked Rachel to help. She had a look at it and then laughed. She said this kind of stuff was too easy for her competitions and that Molly was ""dumb"" to struggle with it.That was the final straw for me. I told Rachel that nobody cares about her fashion blog or her mathematics competitions, and that she was a self centred bully. This made Rachel cry, and when my sister showed up Rachel hugged her and told her what I said. My sister said ""How could you say that to a child?"" I told her that her daughter was using her hobbies to torment and upset Molly and needed to be told it was not appropriate. My sister took her daughter without saying goodbye. I do feel bad about making the kid cry. Truly I do, but at the same time she was bullying my daughter and needed to be stopped."
1,2021-03-18 01:16:46,Everyone Sucks,2331,m7414v,694,"AITA for calling another student ""Reduced lunch"" after he called me ""Daddy's money""?","Bit of background, I live in a middle class home, my parents drive a Camry and an Accord. We are not rich by any means, just my parents are frugal with what they have and they also invest the money they do save. There is this kid call him Jeremy, who has just been a jerk to me. He is a good bit taller than me and weighs more than me too. I had to get some paperwork done (had a note) and I was gonna be coming back to the cafeteria. I was going to Chick Fila and texted my friends if they want anything (they would pay me back venmo). So I brought back some sandwiches and fries . Jeremy comes over and is like Daddy's money saying that I am exploiting my friends for asking them to venmo me back for their orders when my dad is paying for it. This is not the case at all its just him trying to harass me again. (he also did this with SAT scores he said the only reason I got my score was because of my prep classes my dad paid for). I was like nope this is with my money not my parents. He and his friend both called me ""Daddy's money"" again. I told him f\*ck off reduced lunch. He got super red, called me some explatives and ran off. A lot of people said it was f\*cked up what I said but I don't get it. If he thinks its okay to make fun of my family for being well off why is it not okay for me to make fun of his for being irresponsible. I was going to say ""mommy's welfare"" but decided agains it."
2,2021-03-18 04:53:24,Everyone Sucks,186,m7910j,140,AITA For telling my GF to shut up about a personality test she took,"My GF (21F) and I (22M) are college students and have been together for almost 2 years. She recently took one of those personality tests (I think they are called Meyers-Briggs or something like that) on Buzzfeed or some other time-wasting website and it has since become somewhat of an obsession. After she took that first test, she started searching for different ones on the internet and kept bragging about whatever personality type she kept getting.  She got a lot of her friends to do them too and now it's like it's all they talk about.One day she tried to get me to take one and I refused. She wouldn't let it go so finally I agreed to let her just ask me the questions. When it was done she told me the results were ""exactly what I thought you would get. This is so exactly you."" Then she sent messages to all her friends about me taking the test and how she called exactly the personality type I would get.  Ever since I took the test, she brings almost everything I say or do back to that personality type. Like, I will say or do something and she will say ""Oh, that's such a (insert personality type here) thing to do haha."" The other day I was working on something for school and getting frustrated by it. She noticed and said ""Getting frustrated like that is such a common trait in people with your personality type."" I was already frustrated by what I was working on and kind of snapped back at her with ""Is being annoying as hell a common trait of your personality type?  Just shut up about that stupid personality test, I'm tired of hearing about it. It's all you've been talking about for weeks.""I immediately knew she would get upset by what I said and I tried to apologize right away, but she went to her room and closed the door and wouldn't let me in. I gave her some space and when she finally came out I apologized for snapping at her. She said she just finds that kind of thing interesting and said I was a jerk to talk down to her like that. I told her I was annoyed with her relating every aspect of our daily lives back to that stupid test. I told her I don't care about whether or not the way I fold my laundry or do the dishes coincides with whatever personality type some BS online test says I have. She said she would stop bringing it up all the time, but that I didn't need to be an asshole about it.Then, just yesterday she brought it up again when she was talking to me about her friend's recent break-up. She said that her friend's ex was doing a classic (whatever personality type) move and that since her friend is a (whatever personality type) that they will just never work as a couple. At that point I pretty much just stopped listening and walked away. She asked me why I was ignoring her and I told her I don't care about that stupid personality test stuff so I was going to do something else. Now she thinks I'm an even bigger asshole for ignoring her, even though she agreed to stop bringing that stuff up all the time."
3,2021-03-17 18:41:30,Everyone Sucks,460,m6wp23,197,AITA for ruining my (30f) boyfriend’s (30m) birthday?,"It was my boyfriend’s 30th and he’s not big on celebrating his birthday so we had a last minute reservation at a new restaurant which went ok. When we arrived back home I had flowers, cake and a present for him. I saved the present till last and the courier arrived with the flowers while we were out for dinner. When I gave him the flowers I got a little upset because he kept asking why I got him flowers instead of just saying thanks. He didn’t even read the card it came with. Nonetheless I bit my tongue and we had cake. All is well at this point. Before we went to bed I surprised him with a present which I really thought long and hard for because he’s really hard to buy anything for and if I ask him he’ll just tell me not to worry about it. To give you an idea, I had to refund his Christmas present because he didn’t dig the colourway of the shoes and it was black white and grey and my boyfriend’s wardrobe is all black white, grey and a hint of navy. But it’s his 30th this time and I didn’t want him to have nothing from me. I knew he needed a new wallet, we brought it up a few times over the year and he agrees. The wallet he currently has is falling apart and is kinda cheap. I wanted to give him something nicer. I shopped around for ages and found one that I think is similar style, size etc. Even stole his wallet when he slept so I could compare the two. But of course when I gave it to him, he refuses to have it because it’s expensive and he doesn’t see a point in owning a wallet that he’ll eventually destroy (due to his job). After hearing that I just got so upset and started picking a fight with him... on his birthday and without finishing the argument we went to bed. The next day he pretended like nothing happened but I was not finished so I kept going on and on about how he didn’t appreciate my effort. We were supposed to go on a road trip that weekend so that didn’t end up happening. Now he keeps saying I ruined his 30th birthday and That I haven’t apologised. I can see myself as being the butthole in this situation but I am also too butt hurt to believe it. So AITA?Edit: - flowers are a strange gift for a man. He did joke about me not getting him flowers not too long ago. I’m just following through a joke. It’s 2021, flowers shouldn’t be a gender biased gift.- He doesn’t hate gifts. He is just aware that he is very difficult to shop for.- dinner reservation was made last minute because bf made the decision last minute. It was made at a restaurant he chose. It was ‘ok’ because the food was shit and the bill was equivalent to eating good at a reputable $$$$ restaurant. - he is not big on birthdays meaning he doesn’t like throwing parties not that he wants zero celebration. That said, he even considered renting a space and getting catering for his 30th. His idea, not mine.- he did thank me for the cake and said it was delicious though (1 win I guess)"
4,2021-03-18 06:31:53,Everyone Sucks,14,m7b8sa,27,AITA for being upset when MIL gives gifts that are used?,"Necessary background: F(37), nuclear family in partner's home country (UK), my in-laws are British and live locally.Over a decade of marriage I've had a rocky relationship with my mother-in-law, there's been good times but also some nasty fights - I hear it's not too unusual not to see eye-to-eye with a MIL.Recently it's been going well, until MIL came around and brought me a nicely wrapped gift which turns out to be some fancy anti-aging shower cream. I have a look and notice it is not sealed, I double-check this online and I can see that what I've been given has at the very least was opened before (could have been used before).I find this upsetting, as it appears as if she is trying to pass off her unwanted cosmetics like they're brand new and to her it's be easier to use it as gift fodder rather than just throwing it away - in short, disrespectful. I confront my MIL about this over the phone, she states she was unaware that the gift wasn't sealed and that she bought it a long time ago - it seems she impulse buys a lot of duty free airport cosmetics and so has a lot to spare for random gifting purposes (MIL is retired and pre-Covid usually went on at least three trips abroad every year, all 1st class to do things such as go on Safari). This also isn't the first time I have received a gift that was a leftover from her collection, usually I am given something that's at least sealed and so is definitely untouched - maybe a little musty, but in mint-condition this time not so.Now MIL is upset that I was upset and the nearest I've had to an apology is ""I'm sorry you feel that way"".AITA for being upset by this habit of my MIL?"
5,2021-03-18 03:59:16,Everyone Sucks,13,m77s8k,30,AITA for wanting to call animal control on my neighbors,"So for context. Up until today I thought my husband had renewed the registration on our dog. Apparently he did not because covid.We live in a more rural area of our state. Houses aren’t right on top of each other. We can our neighbors houses but there is a nice wooded area that separates us. One of our neighbors has a dog. We have a dog. When we first moved in we noticed in spring and summer our neighbors dog would wonder from their house, to the woods and explore our yard. I would shoo it away. Mostly because I didn’t want it pooping in our yard. The neighbors seemed to notice the issue with the dog coming in the yard and I thought they had started putting their dog in their fenced backyard. For the last week their dog has been wondering into our yard again trying to potty. Usually it stays in the woods and i don’t really have a problem with that but our main yard is different. My husband went out today to shoo it away and the neighbors were outside! They clearly knew where their dog was and called him back, didn’t say sorry.I am pregnant and we have our own dog who is pretty protective. I told my husband this has been going on long enough and next time it’s in our yard im calling animal control. They have a fence in yard but specifically let it out of the yard so they dont have to pick up after it.My husband flipped out and said “dont you dare call the cops on the neighbors” i told him that im not okay with them using our woods and yard (we actually own the wooded area their dog had been using) for their dog to poop and pee in. Im not okay this dog had no sense of boundaries. And they clearly know it’s going in our yard and dont care. He says since our dog isn’t registered we need to not call the cops. Now we arent speaking.For reference: we could fence in our yard. However we own a big natural forest area. So we wouldn’t be able to enclose all of it. Most house in our neighborhood with a lot size that big dont fence then in. It’s apart of the rural living. Also i love the deer and foxes being able to cut through. Our neighbors have a giant fenced in yard. My main issue is if their dog is outside they need to watch it like we do our dog. We have debated fencing the yard in for other reasons. But i think $6k so a dog doesnt poop in our yard and stays in his is ridiculous. Im also concerned about the dog coming into the yard once we have kids (currently pregnant with 1st)."
6,2021-03-18 00:59:59,Everyone Sucks,20,m73n05,43,"AITA for overtaking a group project and ""ruining my peers' learning experience""?","Just like most people, I hate group projects in college. Not because I don't think that learning how to work as a team is valuable, but because they are needlessly complicated and the team members absolutely never put in an equal amount of work (either through ethic or ability), especially in an online format.So for this newest group project, I offered to do the whole thing. They still looked at the material and had to actually learn the info, but I did all the deliverables. And not even as some martyr-like ""I do ALL the work"" crusade, it is just truly easier and less work to do it myself rather than coordinate a bunch of teenagers, teach them effective time-management and communication, and figure out how to integrate five different writing styles and skills with often-subpar work. That is not my job as a student. Professors always assign group work, but they don't ever really teach you how to do it. And I totally get that this sounds cocky (and was called cocky) and I'm sure that this attitude will field me some YTAs.But anyway, I did the whole project. Everybody got an A and the other four group members were obviously very happy with the arrangement. It was all fine. Until the peer-review process. Now again, this was my idea made purely out of selfish reasons, so it's not like I'm going to complain on the review process that my team didn't do any work. So it was basically just four different ways of saying ""they contributed as efficiently as possible to the benefit of the group"". Evidently, the professor did not agree. And is looking into academic integrity action. But again, professors give out group projects with no info, no guidelines, and just expect everyone to solve it. So I solved it, which is what I told her. I was told that this is ""cocky asshole"" behavior and the titled claim that I was ruining learning experiences. So, AITA?"
7,2021-03-16 22:26:11,Everyone Sucks,2464,m690iy,805,AITA for insulting a fat girl after she told me to eat a burger?,"We’re both 17f for context.Basically, someone in my friend group at school, who I’ll call Jenny, is pretty overweight, and clearly insecure about it, whereas the rest of the group are all slim. I have never mentioned weight, calories, health etc in front of her bc i know she’s insecure. She has a habit of implying that we’re all too skinny (in what feels like a disparaging way), but we tend to ignore her.But one time at lunchtime I wasn’t hungry so didn’t eat anything, and I swear she was giving me dirty looks the whole time, then said ‘you should really start eating more’ to me. To clarify, it was obvious she was saying it to be insulting, not because she cared about my health or anything (I normally eat loads). So anyway, I was annoyed at this comment, and said ‘what and start to look like you? No thanks’Then, she walked out, and was very upset.Objectively, I accept that what I said was very mean, and my friends think i was in the wrong. One of them said that it would’ve been fine if i’d told jenny to eat a salad or something that was a direct inversion of what she said, but since I expressly insulted the way Jenny looks, I’m in the wrong. I see what they mean, especially since I know she’s insecure.However, i was just sick of her taking her insecurities out on me and my friends. It’s not like I cant be insecure either - ive always felt too ‘flat’ so its not really fun when she  implies that i’m too skinny. Just want to know if I was justifies in what I said to her, or AITA?"
8,2021-03-17 17:06:07,Everyone Sucks,62,m6vdau,63,AITA for forgetting to vacuum on my days causing my aunt to give my sister (25f) and me (23f) an ultimatum that we have a week to make it consistent or we need to pay rent?," I (23F) and my sister (25F) live with our aunt. She invited us a while back to live with her under the amazingly generous conditions that we either work or study and keep the place tidy. Of course we said yes and I am currently studying and working part-time while my sister is studying full-time (both distance). The problem with the tidying part is I have severe ADHD, I have a tendency to leave things around that I then forget and lose track of time a lot. I am working really hard on improving and have just started a new medication that I am hoping will make a difference. My aunt is understanding of this and is not as pushy on me since she knows I am struggling.I have tried compensating by cooking. I really enjoy cooking and have a delicious meal for aunt to eat whenever she comes home from work. She really appreciates this since she does not like cooking (or have the time) and neither does my sister, who will come out from her room when she smells that food is done. Since I cook so much I do the grocery shopping, which keeps the fridge stocked and aunt does not have to potentially expose herself to the virus anymore. Aunt gave a suggestion that since I always have meals ready and keep the fridge stocked, my sister can do the vacuuming. My sister did not like this and said that that is not fair since she will be cooking too and it is better if we divide the days in the week where we vacuum instead. It has been 6 months now and she has not cooked anything besides her own breakfast. And I have been struggling to remember to vacuum on my days. Eventually my aunt sat down with us and said that the vacuuming has not gone well at all, and if we don’t fix this soon we will need to start paying rent. My sister got very flustered and said that she would do the vacuuming alone, since it is easier to do it without having to think of me. When my aunt left for work my sister tore into me saying that this would not have happened if I had done my days. That this was mostly my fault and I need to take responsibility for it. I looked at the list and saw that many of her days were not ticked off either and said If that was the case then aunt would have sat down with just me to have this talk. My sister got very emotional and left glaring. I followed and said that it was very mean of her to put all the blame on me. She said that the only reason why I cook is because I enjoy it, if I didnt I would NEVER do it. I need to learn about reality, that I need to learn to do things I don’t like and it is very childish of me to only be doing things that I want, that I need to grow up.I stood my ground and glared at her, telling her that it is both our fault and that it was a very reasonable thing for aunt to say. My sister was shaking and got teary eyed and demanded I leave her alone.Part of my ADHD is that I am very hyper emotional. I feel awful. I don’t know if it really is my fault and it was unfair towards my sister and I need to take responsibility alone. Reddit, AITA?"
9,2021-03-17 13:48:06,Everyone Sucks,58,m6sgst,55,AITA for expecting my boyfriend to watch my shows like we watch his shows?,"My (22F) boyfriend (24M) and I are long distance and the border between our countries is closed due to covid and has been for the last year. We used to play video games together but he has stopped playing any game except for WoW so we don’t play together anymore and we usually facetime and watch tv shows together. We switch off who chooses which show to watch (I chose Merlin, then he chose demon slayer, etc.). Well when we are watching his shows he is always calling wanting to watch for hours and hours and we get through his shows very quickly. He always has us stay up until like 2am and gets super excited. When we watch my shows, he seems excited but will end it after a couple episodes and say he has to go do something or he’s falling asleep. He says that watching shows in his bed with the lights off makes him sleepy but when we were watching demon slayer he never had that problem. I always have to call him now whereas before he often called me wanting to watch. He always says “don’t worry we’ll watch a lot on my next day off” but he uses his days off to do other things so we barely talk.Right now we’re watching adventure time where the episodes are only 12 mins long. 2 nights ago he had a day off the next day (so no bedtime) so I called him and asked him if his light was on so he wouldn’t fall asleep. He said it was. I requested it video call him to see if it was and it wasn’t. Then he did something to make it look like his light was on so I asked him to show me the light source and he was like “fine I’ll turn the light on”. I basically was on his ass all night and got him to watch 7 episodes, less than an hour and a half of the show, but he kept pointing to the fact that we had watched so many episodes and asking how could I want more.Tonight I got him to watch 4 episodes, so basically an hour, but he only wanted to watch 3.  We stopped at 11:45 pm (remember he would have us stay up to 2:00am when we were watching his show). He said that it’s not his fault he has to go do the dishes and that he has work tomorrow. I said “if you knew you had to leave this early why didn’t you call me before and why’d you wait for me to call you?” He said he wants me to call him at 11:00pm so that I can stop him from playing WoW because he can’t stop on his own. He gets home from work at around 7 or 8? So I guess he plans to spend 3-4 hours playing WoW and then 1 hour watching adventure time with me.This has basically been an ongoing fight since we started watching a week ago and he‘s upset that I’m “always mad at him” even though we are watching so many episodes every night. AITA for being mad that he basically is scheduling 1 hour for me a day? Is it unreasonable for me to expect more? It’s also annoying knowing that if I never called him then we would basically never talk. I guess he would call me before bed hopefully."
