,judgement,title,score,id,num_comments,body
0,Asshole,AITA for not wanting to discuss my deceased sister?,3852,m1ejs3,826,"Before I (19F) was born, my parents had another kid, Hannah. When Hannah was 8, she died due to an accident. I was born 2 years later.Growing up, she was constantly mentioned. We went to her grave multiple times a year, pictures were hung in our house, stories were told. I wouldn’t say it overshone me in anyway, I still got to be my own person, my parents never wanted me to be Hannah and they celebrated my accomplishments. But still, she was always talked about and I was always told I had a sister, asked how I felt about her...and it took me years to admit to myself that I feel nothing for her. I never met her and due to her death, she’s always been made into this saint like figure, it’s like she’s this person I’ve watched documentaries about. I have respect for her...but I don’t consider her my sister. If others ask if I have siblings, I say no. Now that I’m living on my own, I don’t visit Hannah. I don’t display the pictures of her that my parents gave to me over the years. I’ve told a few close friends and my ex as I felt they had a right to know, but outside that...there’s nothing to discuss.Recently, my mom was talking about Hannah, a lot. I’ve told her before I don’t want to talk about Hannah anymore, but she doesn’t listen. The other day, she kept going on about a story I’ve heard a million times and I said “I thought I told you I was done talking about her.” My mom replied “She’s your sister” and I said “technically, maybe.” My mom got really offended and I pointed out we weren’t raised together. I don’t know her. I feel nothing for her. My mom started crying and called me heartless. She said that I don’t have to discuss Hannah, but she’s not going to stop just because I want to pretend she never existed.My dad has said what I said about Hannah is near unforgivable and I need to re-evaluate my priorities. AITA?"
1,Asshole,AITA for letting my FIL write me into his will over his two daughters?,1277,m198t7,412,"I (35m) and my wife(32f) have been married for 7 years and we have 2 kids now. My FIL is an older man who is somewhat stuck in his older more male centric world view. Because of this, he has always treated me like the ""son he never had"" going so far to call me his son in front of his friends and stuff. He invites me on trips with him to go hunting, boating, and all sorts of other things. He also helped me get my current job. This has caused a lot of problems with my wife and she calls FIL a misogynist and all sorts of things. While I agree with her that it is awkward, I try not to blame old people for being stuck in the past so much.Well the other day I was helping FIL with something and he brought up the fact that he was probably not going to live longer especially with Covid19 and stuff (not sure why because he is already vaccinated). Well he basically told me he always wanted a man he could trust to leave his money to and take care of the family and that I would be it. He showed me a copy of his will and while most heirlooms and other things were left to his daughters, the lion share of his money was left to me with instructions to ""take care of his daughters"". He asked me if I would honor the terms and I said that of course I would and didn't really think much of it because me and my wife share finances anyways. I don't really keep things from my wife so I went home and told her about it and she completely freaked out on me. She said I was feeding into his bullshit and that I should have declined being placed into his will. She called her sister and now they are both freaking out about it. I have no idea what he would have done if I said don't give it to me but I know that I don't plan to try to steal their money. I mean my wife will own what I own anyways. I'm not really sure what to do because my wife and I never fight, but I really wish this could blow over.AITA for letting my FIL leave his inheritance to me instead of his two daughters?Just a couple of things because it keeps coming up in comments:-My wife is much better at finances than me and she even makes more money than me. I never grew up in a stable household and didn't really learn how to manage money, but I have learned a lot from her family. I married into an upperclass family and they have always treated me great and never brought it up, but I still try to fit in and not make waves. That's why I said I'm not trying to be confrontational about the misogyny thing because they always get on their dad for it anyways."
2,Asshole,AITA for not defending my girlfriend’s son when my kids accused him of being a liar even though I suspected he was telling the truth?,952,m18ogp,327,"I’ve been with my GF for 2.5 years and we moved in together about 2 months ago. Her son Elias (5) lives with us the majority of the time, but he goes to see his dad during the school holidays and sometimes more depending on what the ex wants. I had never met her ex until a week ago. My kids (Matthew, 10 & Sophia, 7) & divide their time 50/50 between my house and my ex’s.My GF’s ex is a textbook Disney dad. I don’t say anything because it’s not my place but when I first found out about the things Elias did when he was with his dad, I was concerned it would cause jealously among the kids. For the most part, things have been fine since Elias doesn’t really brag and he only usually brings up his dad to my GF.Elias went through a phase where he was obsessed with fish/sea life. My GF’s ex got him a huge fish tank when he found out, which is cool of him. Then in August, he took Elias on a two-week trip, again that was cool of him.A week or so after Elias got back from the trip, I’m watching all of the kids while my GF runs some errands. Elias won’t stop talking about how he swam with the fish. Matthew tells him he’s lying and the kids get into an argument. It ends with Elias crying but I was able to calm him down before my GF got back and I told Matthew to apologise.Matthew and Sophia started purposely excluding him and claimed that their mother told them they shouldn’t be friends with liars. My GF gets upset but puts it down to them going through a phase since she’s never heard them call Elias a liar. I have a word with my ex and the kids, and things go back to normal.Fast forward to two weeks ago and my ex shows up at our house to have a word with my GF about Elias’ continuous lies. Apparently, he’s been telling the kids about all of the other stuff he’s been doing with his dad since the fish incident and both kids are upset because they think he is still making stuff up to make them jealous. After my ex leaves, my GF is fuming at ME. She asks me what happened and gets angry at me for not defending Elias when I knew it was likely true. Then she broke up with me and said she was moving out because she wasn’t going to be that parent who put a man before her child.I would have apologised but then she shows up a week ago with a few people to help her move out, including her ex. He’s a complete AH to me and my GF just ignores me the whole time.I’m thinking about apologising still because I want to fix our relationship, but I want to know if I’m the AH or not first.AITA?"
3,Asshole,AITA for burying my neighbors dog without telling them?,147,m1hhfu,104,"My (34m) neighbors (30s M/F) went through a difficult time recently for reasons that it's not my place to go into. To recover, they went abroad. They left their dog at home and arranged to pay someone to come feed and walk the dog.They had been gone for about 2 weeks when I found their dog under a hedge between our yards. It was very clearly deceased. I don't know what happened to it - there was no obvious trauma. Lest you ask, no, I did not harm the dog in any way. I was at a bit of a loss, because I (a) didn't have the dog walker's contact information and (b) I did not know when my neighbors would be returning.I debated trying to contact my neighbors. On the one hand, they probably would want to know and to come home. On the other hand, bad news keeps, and they were *already* on vacation trying to cope with the aftermath of a difficult experience. I thought about what I would want if I were in their shoes, and I decided that what I'd want is for someone to bury my pet in my yard and tell me when I returned. Initially, I'd be upset just because I was surprised but in a couple days I would get over the surprise, see the sense in it, and be grateful.So that's what I did - I buried the dog in a nice corner of their backyard. I wrote a note asking them to give me a call on their return and slid it under their door. I also stuck a note labeled ""dogwalker"" on the door with tape which asked the dog walker to give me a call. The dog walker did give me a call a couple days later, and I explained what had happened and what I had done. I said that I had not contacted my neighbors, and the dogwalker could make their own choice about whether to inform them of the dog's passing.My neighbors came back a couple weeks later. They were surprised and are very, very unhappy. The dogwalker did not contact them to tell them what had happened, and of course, neither did I. They don't blame me for the dog's death, but they do feel very strongly that I should have contacted them immediately. I expected them to feel that way initially, but it has been a few days and there is no sign yet of those feelings diminishing in intensity.If there had been anything they could have done for their pet, or if they had been on vacation for fun instead of emotional recovery, I would have tried to reach them. On the one hand, I tried to do what I thought best given the situation on the other, I kind of understand how they feel. I don't know - AITA?I don't want to second guess or criticize their decision to go abroad, or their decision to leave the dog at home with the supervision of a paid caretaker. Those were their decisions to make, not mine or anyone else's.EDIT: I have read many of the comments but don't have a ton of time to respond, so here goes.(1) Their major complaint (as far as I can tell - they were in rough emotional shape when they left and things are not better now) is that I did not tell them that the dog had died. AFAIK they don't have an issue with the fact that I buried the dog or that I buried it on their property. (2) The dogwalker was explicitly responsible for the dog, and there is no question that the dogwalker is an asshole for not contacting them immediately. I'm not going to participate in other speculation about the dogwalker because I have no information.(3) A number of commenters have said that burying the dog prevented my neighbors from doing what they wanted to with the carcass. In the first place, they don't seem to have an issue with me burying it and in the second place, that makes no sense. Burying a carcass is not permanent. It can be dug up and reinterred or cremated, though maybe not taxidermied. Also, burial was is a reasonable short-term storage option - it limits oxygen, keeps off scavengers, and keeps the carcass cool (if you bury it deep enough, which I did). I could not put the dog in my freezer (without chopping it up) because it would not fit, even if I emptied my freezer. So I'm really kind of upset about the comments that said I should have preserved the carcass in some other way. In my mind, I could have just chucked the carcass under their deck and left it for them to find, and they'd have had the trauma of finding it after the possums and raccoons had been at it, but not been mad at me. The question is really should I have told them (and probably caused them to return earlier) not whether I should have buried the dog. "
4,Asshole,AITA for telling my fiancee to stop blaming our kids for ruining her body?,3975,m0xylf,1126,"My fiancée (46F) and I (48M) used to both be fitness enthusiasts. She used to go to the gym with me all the time and we shared passions in mountain biking, CrossFit, and were competitive rowers from our college years onward. She used to take pride in the fact that she would push herself to the limit to keep up with me fitness wise. However after our 4 year old and 3 year old girls were born my fiancée began saying that using the elliptical and treadmill at the gym already constituted “ pushing herself to the limit.”She was having trouble with her  “miles” of extra skin ( her words not mine) and said her “gym rat” days are over. She ended up gaining weight, had spider veins, and would say that she was now “ momma” to her kids and that I say I want a “ sexy partner” not just a “ momma” but refuse to plan a wedding.In these past 4 years, she’s bought more and more into what I saw to be very tacky “ mommy motivation” YouTube channels and online magazine subscriptions. Started joining a bunch of support groups and attending working mother summits even though she hasn’t worked in six years.All that’s ok but one of her “ mommy” friends who runs a local women’s wellness magazine asked her to do a shoot about empowering “ mom bodies.”She and about 19 other women ended up having pictures taken of their so called “ tiger stripes” and talked about embracing their mom bodies. I didn’t check out what was put out until I logged on to social media today and saw my wife tagged in her picture and I felt like what I saw was just a whole lot of indecent taste.There was a picture where the two kids’ feet was resting near where my fiancée’s stomach’s “crepe” texture started. My fiancée wrote an excerpt about how she used to be an avid rower and never shy in a bikini but for the longest time after the kids she ached everywhere and could barely get her excess weight and skin into her leggings. She says she felt undesirable, like she felt not valuable because she had lost her beauty and fitness.   But then she tries to dispel it all by saying she realizes that her kids don’t care and think she’s beautiful and that her body made her proud to be a woman because it housed her kids for nine months. I confronted my fiancée and said it was one thing to not feel like a woman but to essentially blame our kids for ruining her body when she made that decision as an adult with free will was horrible mothering. She yelled that this wasn’t what she meant and that she was saying she’s grateful her body gave us children.I said that obviously the picture with our kids’ feet around her stomach was pointing out the cause of her “ ruined body” and it couldn’t be more obvious. AITA for thinking that she needed to hear that she can’t blame others when if she really ruined her body that was her own decision, not my kids’?"
5,Asshole,AITA Airbnb Host Argued Over Review,58,m1knhy,56,"In February, I rented a cabin so I could use the hot tub and get away from home since that is where I have been stuck. I rented it through Airbnb, and if you have used that, you know when you book, you get instructions and rules. Well, when I get there, I message her because she said she would just text the code. When she text me, it was a massive message with all kinds of info, mainly about things to do in the area. Well, I quickly scrolled through the text and got the code at the bottom because it was 35 degrees, and I was standing outside. Later that night since check-in was 4pm, I went to get into the hot tub, it was very dark outside and there was not good lighting, especially since the lights above the hot tub in pictured in the listing did not actually plug in anywhere. There were two steps this lip that stuck out the side of the hot tub that I thought you used to step up into the hot tub that were apparently fold down steps that end up folding out and smacking my leg, making a welt the size of a ping pall ball.I contacted the host to see if there was a first aid kit, and there were none, and the nearest place to get any supplies was 30 minutes away and was just a gas station. The conflict starts after I leave a 3-star review and say what happened above. I get a message from her saying that it was my job to read the rules and it was also not her responsibility to provide a first aid kit. I reported her to Airbnb after she, and they gave me a partial refund then I get another message from her saying she is a SAHM and this is how she provides for her family. I wrote her back talking about how she had annoying post-it notes all over the house with rules, literally on the bed, stove, sofa, and stupid rules like no feet on couch or furniture plus the rules on AirBnB and nothing mention steps to the hot tub. I said between the post-it notes and the rules on Airbnb, it should have been clear the steps folded down since there was not adequate lighting outside that one line in a message that was pages long and was supposed to be door unlocking information I did not adequately look over it. AITA for leaving her a low review since it was technically my fault I got injured.I am adding an edit because everyone is saying read the rules but it was not in the rules in airbnb or on the board of  rules in the cabin she had mention in a text when I asked her for the entry code."
6,Asshole,AITA for urging my niece to change her name?,46,m1dxpe,68,"I (30sM) have a sister who’s really struggled in life. I’ll call her Terrie. Terrie has struggled with addiction, and she’s been in and out of inpatient treatment since high school. She managed to keep custody of my niece (“Diva”, currently 16F) for a while, but Diva was finally removed from my sister’s care when she was in 7th grade. Diva’s dad isn’t in the picture and my parents are in their 70s, so my niece was set to go to foster care. My wife and I stepped up and she’s been with us ever since. Diva has honestly thrived for the past three years. The first year she was with us, she had some behavior issues, namely small thefts. But once she got into therapy, she started straightening up and even became an A student. Her current plan for college is to study medicine and become an oncologist. My sister Terrie has been incarcerated for more than a year, and after some court stuff that I won’t share here, it looks like she’ll be terminating her rights. After that, we plan to adopt Diva. Fast forward to last Saturday. Our family was hanging out in the backyard, along with my friend Pete who is staying with us for a few days (home renovations, not really relevant to the story). We were casually talking about when the adoption would happen, and I brought up a name change. Diva isn’t my niece’s actual name, I changed it for privacy, but it’s something similar. The name is just really questionable and trashy, and it doesn’t suit a young lady as smart and self respecting as my niece. Also, there are concerns that no patient would be willing to choose a “Dr Diva.” Well, Diva said that she liked her name, and my wife pointed out that having a more socially acceptable one would be easier, especially in med school. Diva got worked up and said we were being judgemental and snooty, basically. I said that the world is unfortunately a judgemental place, and “you can’t win if you don’t play.” My wife is from Eastern Europe, and she changed her own name when we got married. She has my last name and an American version of her old first name. I feel my wife knows what she’s talking about, and Diva should listen. Anyway, are we the assholes? We’d never force my niece to change her name, we just think it’s a good opportunity. I don’t want my sister’s crap and bad choices to keep my niece down."
7,Asshole,AITA for wanting my wife to breastfeed our child?,490,m10f0m,416,"My wife and I have two kids, and before the second was born late last year, we had several (3-4) discussions on whether she should breastfeed or not. For context: the first one wouldn't latch despite many consultations with the specialists, so she pumped for 8 months before deciding to stop. We talked a lot during that time about how uncomfortable it was for to have to pump, but given the medical benefits of nursing, she felt (and I agreed) that some breastmilk was better than no nursing. So she pushed through for a few months and I was grateful for that.For the second one, however, she decided from the beginning that if the second one didn't latch, she wouldn't pump because it was terrible for her mental health. I stated that at the end of the day, it was her body = her choice, but I also strongly believed that it would be a missed opportunity for the second child health-wise. I let her know that I believed breastfeeding/pumping would be PREFERABLE and, as the father, I FELT that I had the right to state my opinion. With every subsequent discussion we had on the matter, I would re-state my opinion, but also that it would be up to her at the end.Flash forward to the birth of the second one, and she tries latching the baby but with no luck (\~ 2 weeks). Meanwhile, she's pumping regularly every day. I'm a work-from-home dad so I'm there to help with both kids whenever she needs to get away and pump. Still, she threatens to quit a couple times, and  I let her know that if it's severely impacting her mental health, she should stop since the priority IS being well-enough to be there for the kids. However after the most recent failed attempt to latch, I'm on the receiving end of a VERY ANGRY tirade (I've never seen her angrier, ever) where she blames me for her poor mental health, and how I ""forced"" her to breastfeed and ""guilted"" her by saying there's health benefits to nursing. In her eyes, I should have been supportive of her not wanting to breastfeed the second one AT ALL and I really wasn't entitled to an opinion.AITA for not being 100% receptive to the idea of her not wanting to breastfeed? I knew it would be hard but I also felt that I could at least state my opinion. I definitely didn't want to ""force"" her, but I thought I made it clear that it was her body=her choice."
8,Asshole,AITA for telling a childhood friend to get over her grudge without acknowledging that I teased her?,297,m12htt,329,"When I (24F) was a kid, I was neighbors with Bri (26F) and Tess (24F). The three of us would always play together and had our own club. The club had a points system where we would dock points for things like swearing (“stupid”, “dumb”, “butthead”, etc... counted), wearing the wrong color, showing up late.....Tess and I would often dock points from Bri after tricking her into saying one of the naughty words and it was funny to see her get frustrated. Even to this day, I see it as kids being kids. Bri did tell us as kids multiple times that it was unfair that she was the only one getting points docked. But we were kids and brushed her off. Eventually Tess and Bri moved and we lost touch. I even forgot about that stupid club until present day.I decided I wanted a fresh start for 2021. So I moved to a new city and started at a new job. Lo and behold, Bri is the one training me. She was nice at first until she pieced together who I was. Then she was friendly but distant, while still training me and maintaining professionalism. I did suggest maybe getting dinner and drinks and catching up but she always evaded it. All the while I would see her brag about being vaccinated and hanging out with other people on Instagram.I didn’t realize what Bri was salty about until a recent project. Bri and I were working together with a few others, who started to joke with me about how they’d better watch their potty mouths around me lest they get written up. I was confused until I asked Bri, who, after some “I can’t believe you really don’t know what they’re on about” quips, admitted that she was still annoyed that Tess and I had our little clique and bullied her as kids. I looked at her in disbelief and asked her if she was still harping on about that, close to 20 years later. Her answer: “oh fuck off with that. I told you multiple times that I didn’t like your little game and you wouldn’t stop. Oh wait. Are you going to take away my points because I said the f word?” I didn’t want any drama for the work project and aside from that little incident, Bri has been professional. So I told her I was sorry that the game offended her but she needs to live in 2021 instead of 2002. She gave me a death glare and that was that with her at least.My boss isn’t switching me to another project because she thinks it was just a squabble and Bri didn’t escalate. Some of our teammates think it was funny harmless kid stuff, the others are on Bri’s side but they’re not being mean to me or anything. Only told me they think the game was a bit messed up if you look at it from her perspective.So AITA for basically telling Bri to get over a petty childhood grudge, without acknowledging how I made her feel back then when the game was a thing?"
9,Asshole,AITA to not accept a gift of money from family?,137,m15lus,151,"Hubs and I were struggling financially a few years back and decided to try to flip a few houses for a better source of income. His aunt and uncle are rich, and he went to them to ask for help. They agreed to finance the purchase of a few flips for us. We flipped and sold two of the homes, but fell in love with the third, and decided to try and buy it for ourselves. Aunt and uncle said no problem. We couldn’t get a loan yet so they agreed to owner finance for a few years to help us get some extra equity. The market in our town had a recession and we ended up underwater on the house, so we just kept paying them monthly like they were the bank. All were fine with it except me, because I always feel like they are trying to control people with their wealth and we were letting them. But I got over it because we needed the help. His uncle got sick a few years later and wanted to get his affairs in order, so he approached us about either getting a regular mortgage or selling the house. We decided to stay and applied and got a loan. When we asked him for the payoff amount, it was around $12,000 more that we had thought. Hubs called him and he said it was debt left over from the costs of the original loan and a few missed payments. It sucked but it was money owed so we rolled in into the mortgage. It was a real bummer not having that bit of money in our savings to serve as an emergency fund and we had to struggle a bit the first two years to cover all expenses. But we did and we’re doing well now.Fast forward to yesterday. His uncle called him and wanted us to refi at today’s lower rates and give us a $12,000 “gift” to help. I refused on the grounds that, if he had wanted to help, he would have forgiven the debt when we needed the money and not now when it’s just a way for him to feel better about taking money from us when we we’re struggling. Hubs says his uncle wanted us to prove we could make it on our own first before and that his uncle was concerned that we would have wasted it before. I told him no way was I accepting that money and was insulted that his uncle thinks we were too irresponsible before. Hubs says its free money and we should take it no metter who is offering or the reasons behind it. And that we would be jerks to not accept a dying man’s gift. I still refuse on the principle of the thing and want his uncle to know that we don’t need his money. He says I'm being an ungrateful bitch and hurting our financial future by holding a petty grudge. Am I being unreasonable here?Edits:Ok fine I accept that I'm the asshole. I expected it to possibly be the case. I didn't expect all the downvotes or people getting this mad. That was a surprise. Also thanks for the mean PM's. I never knew that being wrong in a situation  makes you a horrible person overall. And to clarify, the money is only being given to us in the event that we accept his advice to refi, and is to be used for closing costs and to pay down the principal some. There is no extra money for hubs to spend without me. And thank you to those who tried to make me see my fault here without invalidating my hurt feelings."
10,Asshole,AITA for not wanting to pay the rent to my girlfriend's parents?,64,m16swx,158,"I've met my girlfriend last summer. We are both young workers who just started their careers, neither of us earn much at all. Her parents are quite wealthy and have bought her a house outright. Due to covid, we decided to move in together 4 months into our relationship to make sure we can still see each other.Now the lockdown end is insight, her parents started discussing how much rent I should pay them when the lockdown ends. They are being considerate with the price of it, as they are asking only 250-300 a month, when houses around us go for 500-600.However, I think rent is a huge waste of money into the void and my whole life I was planning to save up enough for a mortgage whilst living with my parents. My parents only charge me 200 for mortgage we have going and that's pretty much it which gives me an opportunity to save up. I don't pay any other bills there.Here, I pay for half the shopping, half the bills, sometimes I buy stuff for the house as well to contribute toward it. Making me pay rent on top of it will just set me back in life more, I want to put that money towards my future, which I can do if I move back.I would rather move back to live with my parents, but I think that will hinder my relationship a lot. If I don't live here, my girlfriend won't get a tenant and will just live alone and it just ends up being inconvenient for us and they still won't get their rent.Am I the asshole here for not wanting to pay rent?Edit: Some common questions/more info1. She doesn't pay rent.2. I do pay half of every cost in the house, including bills, tax, purchases of new appliances and maintinance of the house.3. Parents do NOT contribute any costs towards the house and haven't for 4 years.4. House was purchased for her, but it's still in her dad's name."
